"product_category_name","product_category_name_english","review_score"
informatica_acessorios,computers_accessories,5
informatica_acessorios,computers_accessories,5
esporte_lazer,sports_leisure,5
cama_mesa_banho,bed_bath_table,1
cama_mesa_banho,bed_bath_table,1
cama_mesa_banho,bed_bath_table,1
cama_mesa_banho,bed_bath_table,1
cama_mesa_banho,bed_bath_table,5
brinquedos,toys,5
eletroportateis,small_appliances,4
beleza_saude,health_beauty,4
beleza_saude,health_beauty,4
pet_shop,pet_shop,3
pet_shop,pet_shop,3
eletronicos,electronics,5
malas_acessorios,luggage_accessories,1
utilidades_domesticas,housewares,4
informatica_acessorios,computers_accessories,5
informatica_acessorios,computers_accessories,5
informatica_acessorios,computers_accessories,5
automotivo,auto,5
eletronicos,electronics,5
cama_mesa_banho,bed_bath_table,1
bebes,baby,5
relogios_presentes,watches_gifts,1
perfumaria,perfumery,5
esporte_lazer,sports_leisure,4
pet_shop,pet_shop,5
informatica_acessorios,computers_accessories,5
perfumaria,perfumery,5
perfumaria,perfumery,5
cama_mesa_banho,bed_bath_table,5
beleza_saude,health_beauty,5
utilidades_domesticas,housewares,5
moveis_decoracao,furniture_decor,5
beleza_saude,health_beauty,5
eletronicos,electronics,4
beleza_saude,health_beauty,5
moveis_decoracao,furniture_decor,5
moveis_decoracao,furniture_decor,5
ferramentas_jardim,garden_tools,5
ferramentas_jardim,garden_tools,5
perfumaria,perfumery,5
beleza_saude,health_beauty,5
beleza_saude,health_beauty,5
automotivo,auto,1
relogios_presentes,watches_gifts,5
utilidades_domesticas,housewares,5
relogios_presentes,watches_gifts,5
relogios_presentes,watches_gifts,5
beleza_saude,health_beauty,3
ferramentas_jardim,garden_tools,5
utilidades_domesticas,housewares,5
utilidades_domesticas,housewares,5
instrumentos_musicais,musical_instruments,5
beleza_saude,health_beauty,5
perfumaria,perfumery,4
beleza_saude,health_beauty,5
beleza_saude,health_beauty,1
beleza_saude,health_beauty,1
beleza_saude,health_beauty,5
moveis_escritorio,office_furniture,2
cama_mesa_banho,bed_bath_table,5
bebes,baby,5
cama_mesa_banho,bed_bath_table,1
informatica_acessorios,computers_accessories,5
automotivo,auto,5
livros_interesse_geral,books_general_interest,5
brinquedos,toys,5
beleza_saude,health_beauty,5
informatica_acessorios,computers_accessories,4
eletroportateis,small_appliances,4
informatica_acessorios,computers_accessories,5
esporte_lazer,sports_leisure,5
utilidades_domesticas,housewares,2
automotivo,auto,5
pet_shop,pet_shop,4
utilidades_domesticas,housewares,5
utilidades_domesticas,housewares,5
livros_tecnicos,books_technical,3
telefonia,telephony,3
esporte_lazer,sports_leisure,5
utilidades_domesticas,housewares,4
fashion_bolsas_e_acessorios,fashion_bags_accessories,1
fashion_bolsas_e_acessorios,fashion_bags_accessories,1
moveis_decoracao,furniture_decor,5
relogios_presentes,watches_gifts,3
artes,art,1
moveis_decoracao,furniture_decor,1
relogios_presentes,watches_gifts,1
informatica_acessorios,computers_accessories,5
eletrodomesticos,home_appliances,5
telefonia,telephony,1
esporte_lazer,sports_leisure,2
pcs,computers,5
cama_mesa_banho,bed_bath_table,5
beleza_saude,health_beauty,5
livros_importados,books_imported,3
artigos_de_natal,christmas_supplies,5
relogios_presentes,watches_gifts,5
moveis_decoracao,furniture_decor,4
moveis_decoracao,furniture_decor,4
audio,audio,1
bebes,baby,3
cama_mesa_banho,bed_bath_table,5
cama_mesa_banho,bed_bath_table,5
utilidades_domesticas,housewares,5
utilidades_domesticas,housewares,5
moveis_escritorio,office_furniture,4
esporte_lazer,sports_leisure,5
esporte_lazer,sports_leisure,5
moveis_decoracao,furniture_decor,3
moveis_decoracao,furniture_decor,3
moveis_decoracao,furniture_decor,4
relogios_presentes,watches_gifts,4
beleza_saude,health_beauty,1
utilidades_domesticas,housewares,1
utilidades_domesticas,housewares,1
utilidades_domesticas,housewares,1
utilidades_domesticas,housewares,1
utilidades_domesticas,housewares,1
utilidades_domesticas,housewares,1
cool_stuff,cool_stuff,1
cama_mesa_banho,bed_bath_table,5
cama_mesa_banho,bed_bath_table,5
papelaria,stationery,4
moveis_decoracao,furniture_decor,5
perfumaria,perfumery,3
bebes,baby,5
beleza_saude,health_beauty,5
relogios_presentes,watches_gifts,4
moveis_escritorio,office_furniture,5
cama_mesa_banho,bed_bath_table,5
beleza_saude,health_beauty,5
telefonia,telephony,3
utilidades_domesticas,housewares,5
alimentos_bebidas,food_drink,3
alimentos_bebidas,food_drink,3
alimentos_bebidas,food_drink,3
alimentos_bebidas,food_drink,3
esporte_lazer,sports_leisure,5
brinquedos,toys,5
informatica_acessorios,computers_accessories,5
utilidades_domesticas,housewares,3
moveis_decoracao,furniture_decor,5
livros_importados,books_imported,1
relogios_presentes,watches_gifts,5
telefonia,telephony,3
automotivo,auto,5
construcao_ferramentas_construcao,construction_tools_construction,4
audio,audio,4
cool_stuff,cool_stuff,5
industria_comercio_e_negocios,industry_commerce_and_business,4
relogios_presentes,watches_gifts,5
esporte_lazer,sports_leisure,5
utilidades_domesticas,housewares,5
esporte_lazer,sports_leisure,5
relogios_presentes,watches_gifts,5
brinquedos,toys,5
instrumentos_musicais,musical_instruments,3
fashion_bolsas_e_acessorios,fashion_bags_accessories,5
esporte_lazer,sports_leisure,5
cama_mesa_banho,bed_bath_table,5
pet_shop,pet_shop,2
utilidades_domesticas,housewares,2
moveis_decoracao,furniture_decor,5
esporte_lazer,sports_leisure,5
instrumentos_musicais,musical_instruments,5
informatica_acessorios,computers_accessories,1
informatica_acessorios,computers_accessories,5
informatica_acessorios,computers_accessories,5
utilidades_domesticas,housewares,5
telefonia,telephony,5
instrumentos_musicais,musical_instruments,5
moveis_decoracao,furniture_decor,4
brinquedos,toys,1
cama_mesa_banho,bed_bath_table,5
ferramentas_jardim,garden_tools,5
ferramentas_jardim,garden_tools,5
cama_mesa_banho,bed_bath_table,5
pet_shop,pet_shop,5
beleza_saude,health_beauty,4
beleza_saude,health_beauty,5
consoles_games,consoles_games,5
fashion_bolsas_e_acessorios,fashion_bags_accessories,1
bebes,baby,5
esporte_lazer,sports_leisure,3
telefonia,telephony,5
moveis_decoracao,furniture_decor,5
casa_conforto,home_confort,5
bebes,baby,1
moveis_escritorio,office_furniture,5
cama_mesa_banho,bed_bath_table,5
eletronicos,electronics,4
esporte_lazer,sports_leisure,3
esporte_lazer,sports_leisure,4
brinquedos,toys,5
telefonia,telephony,4
esporte_lazer,sports_leisure,5
pet_shop,pet_shop,4
instrumentos_musicais,musical_instruments,4
relogios_presentes,watches_gifts,5
relogios_presentes,watches_gifts,1
telefonia,telephony,5
telefonia,telephony,5
fashion_bolsas_e_acessorios,fashion_bags_accessories,5
eletronicos,electronics,3
esporte_lazer,sports_leisure,5
moveis_escritorio,office_furniture,5
informatica_acessorios,computers_accessories,5
moveis_decoracao,furniture_decor,3
